Date,PE
2008-01-31 00:00:00,49.4
2008-02-29 00:00:00,49.22
2008-03-31 00:00:00,39.46
2008-04-30 00:00:00,42.06
2008-05-31 00:00:00,25.86
2008-06-30 00:00:00,20.63
2008-07-31 00:00:00,20.91
2008-08-31 00:00:00,18.11
2008-09-30 00:00:00,18.66
2008-10-31 00:00:00,14.07
2008-11-30 00:00:00,15.22
2008-12-31 00:00:00,14.85
2009-01-31 00:00:00,16.25
2009-02-28 00:00:00,17
2009-03-31 00:00:00,19.36
2009-04-30 00:00:00,20.2
2009-05-31 00:00:00,22.42
2009-06-30 00:00:00,25.3
2009-07-31 00:00:00,29.41
2009-08-31 00:00:00,23
2009-09-30 00:00:00,24.07
2009-10-31 00:00:00,25.98
2009-11-30 00:00:00,27.89
2009-12-31 00:00:00,28.73
2010-01-31 00:00:00,26.21
2010-02-28 00:00:00,26.88
2010-03-31 00:00:00,27.51
2010-04-30 00:00:00,25.37
2010-05-31 00:00:00,19.9
2010-06-30 00:00:00,18.46
2010-07-31 00:00:00,19.85
2010-08-31 00:00:00,19.85
2010-09-30 00:00:00,20.01
2010-10-31 00:00:00,22.61
2010-11-30 00:00:00,21.52
2010-12-31 00:00:00,21.61
2011-01-31 00:00:00,21.64
2011-02-28 00:00:00,22.57
2011-03-31 00:00:00,22.78
2011-04-30 00:00:00,22.75
2011-05-31 00:00:00,16.33
2011-06-30 00:00:00,16.48
2011-07-31 00:00:00,16.14
2011-08-31 00:00:00,15.41
2011-09-30 00:00:00,14.19
2011-10-31 00:00:00,14.96
2011-11-30 00:00:00,14.17
2011-12-31 00:00:00,13.4
2012-01-31 00:00:00,14
2012-02-29 00:00:00,14.86
2012-03-31 00:00:00,13.86
2012-04-30 00:00:00,14.7
2012-05-31 00:00:00,12.66
2012-06-30 00:00:00,11.9
2012-07-31 00:00:00,11.28
2012-08-31 00:00:00,11.03
2012-09-30 00:00:00,11.25
2012-10-31 00:00:00,11.17
2012-11-30 00:00:00,10.71
2012-12-31 00:00:00,12.3
2013-01-31 00:00:00,12.97
2013-02-28 00:00:00,12.9
2013-03-31 00:00:00,12.19
2013-04-30 00:00:00,11.89
2013-05-31 00:00:00,11.81
2013-06-30 00:00:00,10.17
2013-07-31 00:00:00,10.26
2013-08-31 00:00:00,10.8
2013-09-30 00:00:00,11.2
2013-10-31 00:00:00,11.05
2013-11-30 00:00:00,11.47
2013-12-31 00:00:00,10.99
2014-01-31 00:00:00,10.57
2014-02-28 00:00:00,10.73
2014-03-31 00:00:00,10.65
2014-04-30 00:00:00,10.65
2014-05-31 00:00:00,9.77
2014-06-30 00:00:00,9.81
2014-07-31 00:00:00,10.59
2014-08-31 00:00:00,10.69
2014-09-30 00:00:00,11.49
