Date,Turnover,Volume
2004-12-31 00:00:00,4122.722,7031
2005-01-31 00:00:00,91007.76,152600
2005-02-28 00:00:00,108735.682,178784
2005-03-31 00:00:00,153976.854,237591
2005-04-30 00:00:00,161126.256,259525
2005-05-31 00:00:00,77564.121,141910
2005-06-30 00:00:00,168157.028,312586
2005-07-31 00:00:00,117223.943,198127
2005-08-31 00:00:00,218259.055,445922
2005-09-30 00:00:00,170709.758,348095
2005-10-31 00:00:00,87185.074,171929
2005-11-30 00:00:00,104333.224,229227
2005-12-31 00:00:00,122090.913,255538
2006-01-31 00:00:00,194034.267,374807
2006-02-28 00:00:00,206882.933,414895
2006-03-31 00:00:00,222194.705,420438
2006-04-30 00:00:00,393465.159,706073
2006-05-31 00:00:00,598372.305,988143
2006-06-30 00:00:00,460787.563,793217
2006-07-31 00:00:00,384091.952,594782
2006-08-31 00:00:00,246394.446,407743
2006-09-30 00:00:00,312988.023,521241
2006-10-31 00:00:00,321847.441,538309
2006-11-30 00:00:00,632367.048,1001152
2006-12-31 00:00:00,891822.462,1277625
2007-01-31 00:00:00,1460245.521,1692230
2007-02-28 00:00:00,937196.956,1009263
2007-03-31 00:00:00,1567569.993,1578691
2007-04-30 00:00:00,2442695.212,1945244
2007-05-31 00:00:00,2831754.028,1897377
2007-06-30 00:00:00,2746710.794,1788222
2007-07-31 00:00:00,1706562.755,1124138
2007-08-31 00:00:00,2952233.895,1676871
2007-09-30 00:00:00,2378712.273,1229234
2007-10-31 00:00:00,1953999.411,932425
2007-11-30 00:00:00,1391214.782,682749
2007-12-31 00:00:00,1423017.659,707408
2008-01-31 00:00:00,2416082.164,1113567
2008-02-29 00:00:00,1011895.642,497369
2008-03-31 00:00:00,1358896.775,729076
2008-04-30 00:00:00,1484353.275,900615
2008-05-31 00:00:00,1415899.898,839170
2008-06-30 00:00:00,848355.272,649935
2008-07-31 00:00:00,1170271.063,961731
2008-08-31 00:00:00,587820.805,560879
2008-09-30 00:00:00,660686.701,717350
2008-10-31 00:00:00,645104.809,762853
2008-11-30 00:00:00,951080.206,1216729
2008-12-31 00:00:00,1173198.111,1435858
2009-01-31 00:00:00,807715.859,934224
2009-02-28 00:00:00,2128088.371,2235286
2009-03-31 00:00:00,2038636.629,1994150
2009-04-30 00:00:00,2334650.759,2126071
2009-05-31 00:00:00,1876705.796,1630505
2009-06-30 00:00:00,2543414.197,2095253
2009-07-31 00:00:00,3869486.96,2836510
2009-08-31 00:00:00,2743945.325,1972255
2009-09-30 00:00:00,2181232.274,1624523
2009-10-31 00:00:00,1528250.521,1089183
2009-11-30 00:00:00,2724687.244,1988043
2009-12-31 00:00:00,2322792.23,1648030
2010-01-31 00:00:00,2138035.813,1501907
2010-02-28 00:00:00,952415.641,718097
2010-03-31 00:00:00,1535126.078,1157489
2010-04-30 00:00:00,1858454.007,1309228
2010-05-31 00:00:00,1310898.821,1049656
2010-06-30 00:00:00,872462.78,751566
2010-07-31 00:00:00,1220926.565,1167064
2010-08-31 00:00:00,1625275.749,1464877
2010-09-30 00:00:00,1549059.805,1255617
2010-10-31 00:00:00,3079602.732,2269463
2010-11-30 00:00:00,3291659.653,2302279
2010-12-31 00:00:00,2012646.542,1441198
2011-01-31 00:00:00,1641526.191,1265752
2011-02-28 00:00:00,1636709.146,1202697
2011-03-31 00:00:00,2578974.987,1845272
2011-04-30 00:00:00,1907675.964,1487552
2011-05-31 00:00:00,1204923.221,968535
2011-06-30 00:00:00,1217798.855,1006723
2011-07-31 00:00:00,1464336.506,1163710
2011-08-31 00:00:00,1242273.051,1083564
2011-09-30 00:00:00,754646.891,702292
2011-10-31 00:00:00,754469.272,762678
2011-11-30 00:00:00,1008919.246,953911
2011-12-31 00:00:00,677139.262,713630
2012-01-31 00:00:00,737817.935,742773
2012-02-29 00:00:00,1250579.512,1207705
2012-03-31 00:00:00,1377575.724,1232629
2012-04-30 00:00:00,928720.929,870209
2012-05-31 00:00:00,1305162.499,1140684
2012-06-30 00:00:00,852508.223,757119
2012-07-31 00:00:00,889566.536,828936
2012-08-31 00:00:00,786791.01,767005
2012-09-30 00:00:00,823537.391,900175
2012-10-31 00:00:00,610385.05,682766
2012-11-30 00:00:00,615120.707,708310
2012-12-31 00:00:00,1302837.158,1426469
2013-01-31 00:00:00,1739278.435,1718448
2013-02-28 00:00:00,1495514.006,1424258
2013-03-31 00:00:00,1508941.497,1478617
2013-04-30 00:00:00,954280.701,943486
2013-05-31 00:00:00,1491106.821,1436621
2013-06-30 00:00:00,1021665.439,1106495
2013-07-31 00:00:00,1387045.9,1498994
2013-08-31 00:00:00,1474134.884,1582090
2013-09-30 00:00:00,1701308.383,1858796
2013-10-31 00:00:00,1411460.195,1507848
2013-11-30 00:00:00,1348555.453,1428076
2013-12-31 00:00:00,1282214.883,1345911
2014-01-31 00:00:00,1059754.011,1118731
2014-02-28 00:00:00,1262193.555,1356911
2014-03-31 00:00:00,1264032.255,1461970
2014-04-30 00:00:00,1172590.906,1303843
2014-05-31 00:00:00,800580.603,942774
2014-06-30 00:00:00,818299.292,919316
2014-07-31 00:00:00,1568007.901,1837615
2014-08-31 00:00:00,1812571.194,2064896
2014-09-30 00:00:00,2208334.007,2494983
2014-10-31 00:00:00,1951336.584,2310795
2014-11-30 00:00:00,3627741.618,4160763
2014-12-31 00:00:00,10016975.63,9249543
2015-01-31 00:00:00,7003939.966,5673620
2015-02-28 00:00:00,3487824.462,2804500
2015-03-31 00:00:00,8733484.947,6843584
2015-04-30 00:00:00,13597587.2,9555015
2015-05-31 00:00:00,12110737.57,7734525
2015-06-30 00:00:00,14354494.69,9498096
2015-07-31 00:00:00,12166460.56,9527704
2015-08-31 00:00:00,6542992.652,5340202
2015-09-30 00:00:00,3493767.794,3173539
2015-10-31 00:00:00,3722381.175,3040308
2015-11-30 00:00:00,5852576.453,4394333
2015-12-31 00:00:00,4535081.043,3358488
2016-01-31 00:00:00,2647189.141,2449990
2016-02-29 00:00:00,1681359.747,1706365
2016-03-31 00:00:00,3268458.385,3063576
2016-04-30 00:00:00,2257641.431,2060887
2016-05-31 00:00:00,1719464.427,1585599
2016-06-30 00:00:00,2046811.35,1686875
2016-07-31 00:00:00,2746714.025,2321165
2016-08-31 00:00:00,2766122.136,2372844
2016-09-30 00:00:00,1660163.284,1440936
2016-10-31 00:00:00,1526492.24,1483956
2016-11-30 00:00:00,3290122.625,3186755
2016-12-31 00:00:00,2648582.092,2536556
2017-01-31 00:00:00,1494590.504,1471192
2017-02-28 00:00:00,1835389.583,1768914
2017-03-31 00:00:00,2451520.016,2135048
2017-04-30 00:00:00,2498633.011,2289221
2017-05-31 00:00:00,2113285.427,1970075
2017-06-30 00:00:00,2495747.598,2019951
2017-07-31 00:00:00,3044115.438,2615045
2017-08-31 00:00:00,3431311.345,2939752
2017-09-30 00:00:00,3000223.317,2397306
2017-10-31 00:00:00,2310351.991,1806926
2017-11-30 00:00:00,4147598.824,3093638
2017-12-31 00:00:00,2741124.304,1985318
2018-01-31 00:00:00,4793170.563,3651824
2018-02-28 00:00:00,2789688.721,2159335
2018-03-31 00:00:00,3182586.641,2343001
2018-04-30 00:00:00,2309428.35,1705841
2018-05-31 00:00:00,2412173.922,1727207
2018-06-30 00:00:00,2228002.176,1648078
2018-07-31 00:00:00,2309083.075,1860568
2018-08-31 00:00:00,2107961.111,1724484
2018-09-30 00:00:00,1622261.253,1329629
2018-10-31 00:00:00,1941885.368,1741752
2018-11-30 00:00:00,2226474.247,2086071
2018-12-31 00:00:00,1620743.955,1427039
2019-01-31 00:00:00,1947904.137,1807808
2019-02-28 00:00:00,2958605.036,2810077
2019-03-31 00:00:00,5448925.89,4631737
2019-04-30 00:00:00,4965175.24,3864485
2019-05-31 00:00:00,2876011.001,2255468
2019-06-30 00:00:00,2590891.173,2003017
2019-07-31 00:00:00,2924769.405,2128714
2019-08-31 00:00:00,2970405.302,2100418
2019-09-30 00:00:00,3151053.395,2167129
2019-10-31 00:00:00,2234980.971,1469573
2019-11-30 00:00:00,2643373.186,1846845
2019-12-31 00:00:00,3377410.427,2506004
2020-01-31 00:00:00,3270034.44,2149940
2020-02-29 00:00:00,5494658.517,3655619
2020-03-31 00:00:00,5502290.458,3674011
2020-04-30 00:00:00,3393125.332,2243063
2020-05-31 00:00:00,2828950.394,1785496
2020-06-30 00:00:00,4037161.21,2553674
2020-07-31 00:00:00,10026075.5,5946221
2020-08-31 00:00:00,6812221.616,3880662
2020-09-30 00:00:00,4823057.527,2668211
2020-10-31 00:00:00,3576693.99,1827884
2020-11-30 00:00:00,5930357.709,3299391
2020-12-31 00:00:00,6331879.157,3293449
2021-01-31 00:00:00,9081338.029,4134624
2021-02-28 00:00:00,6310768.82,3006633
2021-03-31 00:00:00,7049021.157,4014380
2021-04-30 00:00:00,5305654.754,2754958
2021-05-31 00:00:00,5329651.321,2663017
2021-06-30 00:00:00,6587944.559,2847922
2021-07-31 00:00:00,8498848.076,3790336
2021-08-31 00:00:00,8880563.435,4102989
2021-09-30 00:00:00,8040891.046,4613213
2021-10-31 00:00:00,4803460.842,2351347
2021-11-30 00:00:00,6427156.939,2992582
2021-12-31 00:00:00,6959320.581,3493737
2022-01-31 00:00:00,5448680.675,2717844
2022-02-28 00:00:00,4159408.759,2165413
2022-03-31 00:00:00,6236632.907,3260873
2022-04-30 00:00:00,4646805.527,2668854
2022-05-31 00:00:00,4275924.502,2358396
2022-06-30 00:00:00,6954287.654,3514699
2022-07-31 00:00:00,5773947.015,2554930
2022-08-31 00:00:00,5554733.895,2443066
2022-09-30 00:00:00,4102940.23,2070652
2022-10-31 00:00:00,3486609.284,1710648
2022-11-30 00:00:00,5229553.801,2918387
2022-12-31 00:00:00,4280641.23,2360035
2023-01-31 00:00:00,3635655.099,1796791
2023-02-28 00:00:00,4422872.386,2326258
2023-03-31 00:00:00,5996281.393,3488641
2023-04-30 00:00:00,6270731.819,3141823
2023-05-31 00:00:00,5063504.754,3139567
2023-06-30 00:00:00,4671600.776,2417510
2023-07-31 00:00:00,4394976.56,2351405
2023-08-31 00:00:00,4798715.434,2772161
2023-09-30 00:00:00,3197438.168,1874171
2023-10-31 00:00:00,3098749.303,1825541
2023-11-30 00:00:00,3662457.258,2193603
2023-12-31 00:00:00,3490287.14,2142333
2024-01-31 00:00:00,4280462.108,2869373
2024-02-29 00:00:00,3900996.815,2566992
2024-03-31 00:00:00,5384610.553,3031398
2024-04-30 00:00:00,4763182.528,3105133
2024-05-31 00:00:00,4451130.156,2873906
2024-06-30 00:00:00,3892123.29,2378818
2024-07-31 00:00:00,4523711.145,2876675
2024-08-31 00:00:00,3413846.834,2327619
2024-09-30 00:00:00,4422251.615,2938548
2024-10-31 00:00:00,9683453.168,5134931
2024-11-30 00:00:00,9701303.831,5138330
